id_acidente;id_veiculo;tipo_veiculo;sexo_condutor;idade_condutor;categoria_habilitacao;usa_cinto_seguranca;estado_alcoolizacao;escolaridade
D011300303;1;AU;M;63;SI;X;BR;7
D011300303;2;AU;M;30;SI;X;BR;7
D011300303;3;AU;F;SI;SI;X;BR;6
D011300304;1;MO;M;28;SI;X;BR;3
D011300304;2;ON;M;35;HA;X;BR;3
D011300305;1;AU;M;54;IN;X;BR;5
D011300305;2;AU;M;32;SI;X;BR;6
D011300306;1;SI;X;SI;SI;X;BR;8
D011300307;1;MO;M;SI;SI;X;BR;8
D011300308;1;CM;M;28;SI;X;BR;5
D011300309;1;MO;M;39;SI;X;BR;6
D011300309;2;AU;M;SI;SI;X;BR;8
D011300310;1;CM;F;57;SI;X;BR;7
D011300310;2;AU;F;61;SI;X;BR;7
D011300311;1;AU;M;42;SI;X;BR;3
D011300311;2;AU;M;27;SI;X;BR;5
D011300312;1;MO;M;30;SI;X;BR;5
D011300313;1;MO;M;49;SI;X;BR;3
D011300313;2;AU;F;23;SI;X;BR;5
D011300313;3;OU;M;41;HA;X;BR;3
D011300314;1;MO;M;28;SI;X;BR;5
D011300314;2;MO;M;SI;SI;X;BR;8
D011300315;1;AU;F;57;SI;X;BR;7
D011300315;2;AU;M;29;SI;X;BR;5
D011300316;1;MO;M;21;SI;X;BR;5
D011300316;2;AU;M;21;SI;X;BR;5
D011300317;1;CM;M;SI;SI;X;BR;8
D011300317;2;MO;M;32;SI;X;BR;8
D011300318;1;AU;M;49;SI;X;BR;5
D011300318;2;MO;M;24;SI;X;BR;3
D011300319;1;AU;M;32;HA;X;BR;5
D011300320;1;AU;F;34;SI;X;BR;5
D011300320;2;MO;M;32;SI;X;BR;4
D011300321;1;AU;M;78;HA;X;BR;3
D011300321;2;MO;M;33;SI;X;BR;8
D011300322;1;AU;X;SI;SI;X;BR;8
D011300322;2;AU;X;SI;SI;X;BR;8
D011300322;3;AU;X;SI;SI;X;BR;8
D011300323;1;MO;M;27;SI;X;BR;5
D011300323;2;MO;M;41;SI;X;BR;3
D011300324;1;SI;X;SI;SI;X;BR;8
D011300325;1;AU;M;41;SI;X;BR;5
D011300325;2;MO;M;37;SI;X;BR;5
D011300326;1;OU;M;38;HA;X;BR;5
D011300326;2;AU;M;SI;SI;X;BR;8
D011300327;1;SI;M;36;HA;X;BR;7
D011300328;1;AU;M;44;SI;X;BR;5
D011300328;2;AU;F;45;SI;X;BR;7
D011300329;1;MO;M;24;SI;X;BR;5
D011300329;2;AU;M;31;SI;X;BR;8
D011300330;1;SI;X;SI;SI;X;BR;8
