id_acidente;id_vitima;id_veiculo;sexo;idade;tipo_vitima;classificacao;tipo_veiculo;estado_alcoolizacao;escolaridade;data_obito
D011300270;2;2;M;26;CD;F;AU;BR;3;          
D011300271;1;1;F;15;PS;F;AU;BR;8;          
D011300272;1;1;M;40;CD;F;MO;BR;3;          
D011300273;1;1;M;30;CD;F;MO;BR;5;          
D011300274;1;1;M;40;CD;F;MO;BR;7;          
D011300275;1;1;M;44;CD;F;MO;BR;3;          
D011300276;1;1;M;42;PD;F;AU;BR;5;          
D011300277;1;1;M;52;CD;F;MO;BR;8;          
D011300278;1;1;M;10;PD;F;AU;BR;2;          
D011300279;1;1;F;44;CD;F;AU;BR;7;          
D011300280;1;1;F;27;PS;F;MO;BR;5;          
D011300281;1;1;M;22;CD;F;MO;BR;3;          
D011300282;1;1;M;26;CD;F;MO;BR;3;          
D011300283;1;1;M;27;CD;F;MO;BR;5;          
D011300284;1;1;F;25;CD;F;MO;BR;5;          
D011300285;1;1;M;33;PS;F;MO;BR;2;          
D011300286;1;1;M;48;CD;F;MO;BR;5;          
D011300287;1;1;M;29;CD;F;MO;BR;7;          
D011300288;1;1;M;31;CD;F;MO;BR;2;          
D011300289;1;1;M;35;CD;F;MO;BR;2;          
D011300290;1;1;M;22;CD;F;MO;BR;5;          
D011300291;1;1;M;SI;CD;F;MO;BR;8;          
D011300292;1;1;M;37;CD;F;MO;BR;5;          
D011300292;2;2;M;28;CD;F;CM;BR;3;          
D011300293;1;1;M;29;CD;F;MO;BR;3;          
D011300294;1;1;M;36;CD;F;MO;BR;7;          
D011300295;1;1;M;25;CD;F;MO;BR;5;          
D011300296;1;1;F;18;PD;F;AU;BR;5;          
D011300297;1;1;M;35;PD;F;OU;BR;8;          
D011300298;1;1;M;25;CD;F;MO;BR;5;          
D011300299;1;1;F;23;CD;F;MO;BR;5;          
D011300299;2;2;M;23;PD;F;AU;BR;6;          
D011300300;1;1;M;20;CD;F;MO;BR;8;          
D011300301;1;1;M;44;CD;F;MO;BR;5;          
D011300302;1;1;M;19;CD;F;MO;BR;3;          
D011300303;1;1;M;27;PS;F;AU;BR;7;          
D011300303;2;1;F;28;PS;F;AU;BR;5;          
D011300304;1;1;M;28;CD;F;MO;BR;3;          
D011300305;1;2;M;32;CD;F;AU;BR;6;          
D011300306;1;1;F;61;PD;F;SI;BR;3;          
D011300307;1;1;F;18;PD;F;MO;BR;3;          
D011300308;1;1;F;78;PD;F;CM;BR;5;          
D011300309;1;1;M;39;CD;F;MO;BR;6;          
D011300310;1;2;F;61;CD;F;AU;BR;7;          
D011300311;1;1;M;42;CD;F;AU;BR;3;          
D011300312;1;1;M;24;PD;F;MO;BR;8;          
D011300313;1;1;M;49;CD;F;MO;BR;3;          
D011300314;1;1;M;28;CD;F;MO;BR;5;          
D011300315;1;2;M;29;CD;F;AU;BR;5;          
D011300315;2;2;F;35;PS;F;AU;BR;5;          
D011300316;1;1;M;21;CD;F;MO;BR;5;          
D011300317;1;2;M;32;CD;F;MO;BR;8;          
D011300318;1;2;M;24;CD;F;MO;BR;3;          
D011300318;2;2;F;21;PS;F;MO;BR;5;          
D011300319;1;1;M;8;PD;F;AU;BR;8;          
D011300320;1;2;M;32;CD;F;MO;BR;4;          
D011300321;1;2;M;33;CD;F;MO;BR;8;          
D011300322;1;1;F;22;PD;F;AU;BR;3;          
D011300323;1;1;M;27;CD;F;MO;BR;5;          
D011300323;2;2;M;41;CD;F;MO;BR;3;          
D011300324;1;1;F;52;PD;F;SI;BR;3;          
D011300325;1;2;M;37;CD;F;MO;BR;5;          
D011300326;1;2;M;22;PS;F;AU;BR;8;          
D011300326;2;2;M;17;PS;F;AU;BR;3;          
D011300326;3;2;F;SI;PS;F;AU;BR;8;          
D011300327;1;1;M;7;PD;F;SI;BR;8;          
D011300328;1;2;F;45;CD;F;AU;BR;7;          
D011300329;1;1;M;24;CD;F;MO;BR;5;          
D011300330;1;1;F;62;PS;F;SI;BR;3;          
D011300331;1;1;F;60;PD;F;AU;BR;3;          
D011300332;1;1;F;24;CD;F;AU;BR;3;          
D011300332;2;2;M;38;CD;F;AU;BR;7;          
D011300332;3;2;F;3;PS;F;AU;BR;8;          
