Groups, Gene1, Gene2, Sigmma_diag, C, gamma, errors
braca1_x_not_braca1, 2998, 549, 0.1, 3.98107170553, 10.0, 0.298181818182
braca2_x_not_braca2, 1967, 581, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 741, 2070, 0.1, 63.095734448, 1.0, 0.12
braca1_x_not_braca1, 442, 2293, 0.1, 3.98107170553, 100.0, 0.336363636364
braca2_x_not_braca2, 1181, 2303, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 2938, 2166, 0.1, 3.98107170553, 100.0, 0.449333333333
braca1_x_not_braca1, 200, 2423, 0.1, 3.98107170553, 0.1, 0.154545454545
braca2_x_not_braca2, 1880, 1666, 0.1, 63.095734448, 1.0, 0.306363636364
braca1_x_braca2, 3166, 2404, 0.1, 63.095734448, 10.0, 0.433333333333
braca1_x_not_braca1, 2750, 2610, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2151, 853, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 288, 1778, 0.1, 0.001, 10.0, 0.466666666667
braca1_x_not_braca1, 2853, 750, 0.1, 1000.0, 0.1, 0.264545454545
braca2_x_not_braca2, 1044, 619, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 678, 39, 0.1, 3.98107170553, 10.0, 0.262666666667
braca1_x_not_braca1, 648, 3126, 0.1, 63.095734448, 1.0, 0.259090909091
braca2_x_not_braca2, 3199, 116, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 2278, 2751, 0.1, 3.98107170553, 10.0, 0.225333333333
braca1_x_not_braca1, 2171, 1603, 0.1, 63.095734448, 0.1, 0.266363636364
braca2_x_not_braca2, 2373, 998, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 3078, 1938, 0.1, 3.98107170553, 1.0, 0.206666666667
braca1_x_not_braca1, 423, 660, 0.1, 63.095734448, 10.0, 0.304545454545
braca2_x_not_braca2, 1708, 1719, 0.1, 3.98107170553, 100.0, 0.313636363636
braca1_x_braca2, 596, 2343, 0.1, 3.98107170553, 100.0, 0.448
braca1_x_not_braca1, 2604, 1092, 0.1, 1000.0, 0.1, 0.285454545455
braca2_x_not_braca2, 2051, 3074, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 2790, 1069, 0.1, 63.095734448, 0.01, 0.313333333333
braca1_x_not_braca1, 1967, 1773, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2310, 2220, 0.1, 0.001, 0.01, 0.318181818182
